Prop_ID,Name,Location,Zip
B193,Hamilton Metz Field,"Albany Ave., E. New York Ave., Lefferts Ave.",11203
B194,Harmony Triangle,"Middleton St., Harrison Ave., Union Ave.",11206
RZ125,GREENSTREET,Hyatt And Bay,null
B196,Pvt. Sonsire Triangle,"Union Ave., N. 11 St. and Roebling St.",11211
B197,Mellett Playground,Avenue V bet. E. 13 St. and E. 14 St.,11229
B198,Kings Highway Malls,Kings Highway between 25 St. and 98 St.,"11203, 11210, 11212, 11229, 11234"
B100,Seth Low Playground/ Bealin Square,W. 12 St. bet. Bay Pkwy. and Ave. P,11204
B429,Hope Ballfield,Knickerbocker Ave. between Grove St. and Menahan St.,11237
MZ249,Greenstreet,Park Ave South Bet. E 20 & E 21 Sts,null
MZ248,Greenstreet,Park Ave South Bet. E 19 & E 20 Sts,null
MZ247,Greenstreet,Park Ave South Bet. E 18 & E 19 Sts,null
MZ246,Greenstreet,Park Ave South Bet. E 17 & E 18 Sts,null
B109,Bill Brown Playground,"Ave. Y, Ave. X bet. E. 24 St. and Bedford Ave.",11235
B105,Taaffe Playground,Taaffe Pl. bet. Park Ave. and Myrtle Ave.,11205
B107,Lion's Pride Playground,Riverdale Ave. bet. Van Sinderen Ave. and Snediker Ave.,11207
B102,Crispus Attucks Playground,Classon Ave. bet. Fulton St. and Lefferts Pl.,11238
B103,Cypress Hills Playground,Euclid Ave. bet. Dumont Ave. and Blake Ave.,11208
B419,Sutter Ballfields,Belmont Ave. to Sutter Ave. between Schenck Ave. and Barbey St.,11207
B418,Valentino Pier,Ferris St. between Coffey St. and Van Dyke St.,11231
BZ239,Schloss Triangle,Neptune Ave & East 12th St,null
X334,Mohegan Triangle,"Mohegan Ave., Crotona Pkwy., E. 179 St.",10460
X335,Risse Street Park,"Jerome Ave., Mosholu Pkwy, Grand Concour",10468
X336,Hunts Point Riverside Park,Lafayette Av bet. Edgewater Rd and the Bronx River,10474
B406,Paerdegat Basin Park,"Bergen Ave., E. 76 St., Paerdegat Ave. North","11234, 11236"
B407,South Oxford Park,S. Oxford St. bet. Commos and Atlantic Ave.,11217
B401,Grand Ferry Park,Grand St. at River St.,11211
B402,George Walker Jr. Park,Wyona St. to Vermont St. between Fulton St. and Jamaica Ave.,11207
B403,Harmony Park,Troy Ave. to Schenectady Ave. between Atlantic Ave. and Herkimer St.,11213
B404,East Flatbush Children's Park,E. 94 St. bet. Rutland Rd. and E. New York Ave.,11212
B405,Epiphany Playground,Berry St. between S. 9 St. and S. 10 St.,11211
X304,Tiffany Street Pier,Tiffany St. at Viele Ave.,10455
X302,Thorpe Family Playground,E 183 St bet. Park Av and Webster Av,10458
X300,Davidson Playground,W. 180 St. bet. Davidson Ave. and Grand,10453
X309,South Brother Island,East River,10474
X305,Concrete Plant Park,Bronx River bet. Westchster Av and Bruckner Blvd,"10459, 10472"
X308,North Brother Island,East River,10474
MZ213,GREENSTREET,Broadway And Edward M Morgan Place,null
X307,Barretto Point Park,Viele Ave. bet. Tiffany St. and Barretto St.,10474
X312,Ferris Family Burial Plot,Commerce Ave. bet. Butler Pl. and Westchester Ave.,10461
X310,Locust Point Marina,Longstreet Ave. bet. Harding Ave. and Giegerich Pl.,10465
X311,West Farms Soldiers Cemetery,E. 180 St. bet. Vyse Ave. and Boston Rd.,10460
B141,City Line Park,Atlantic Ave. bet. Fountain Ave. and N. Conduit Ave.,11208
B142,Bedford Playground,Bedford Ave. bet. S. 9 St. and Division Ave.,11211
B144,Ocean Hill Playground,"Dean St., Bergen St. bet. Rockaway Ave.and Hopkinson Ave.",11233
B140,Banneker Playground,Macy Ave. bet. Lafayette Ave. and Kosciuszko St.,11216
B146,Quaker Parrot Park at the Dust Bowl,8 Ave. bet. 65 St. and 66 St.,11220
B145,Thomas Greene Playground,"Nevins St., 3 Ave., bet. De Graw St. and Douglas St.",11217
B148,Rolf Henry Playground,"Clarkson Ave., New York Ave.",11226
B147,Monsignor Crawford Field,"Ave. U bet. E. 58 St., E. 59 St., and E. 60 St.",11234
BZ214,GREENSTREET,"Gerald H Chambers Sq & Oriental Blvd, Center",null
B132,Gilbert Ramirez Park,Mc Kibbin St. bet. White St. and Bogart St.,11206
B130,Greenwood Playground,"Ft Hamilton Pkwy., Prospect Ave., Greenwood Ave.",11218
B131,Rudd Playground,"Arberdeen St., Furman Ave. north of Bushwick Ave.",11207
B139,Heckscher Playground,Linden St. bet. Central Ave. and Wilson Ave.,11221
B137,Sixteen Sycamores Playground,Schermerhorn St. bet. Nevins St. and 3 Ave.,11217
B135,Newtown Barge Playground,"Commercial St., Dupont St.",11222
BZ201,GREENSTREET,"Bay 50th St, W 16th St, and Private Catanzaro Sq",null
B121,Dodger Playground,Sullican Pl. bet. Rogers Ave. and Nostrand Ave.,11225
B124,William Sheridan Playground,Wythe Ave. bet. Grand St. and S. 1 St.,11211
B123,Alben Triangle,"46 St., 11 Ave., New Utrecht Ave.",11219
B126,Red Hook Recreation Area,"Halleck St., Bush St. bet. Otsego St. and Court St.",11231
B125,Calvert Vaux Park,"Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy.",11214
B128,Colonel David Marcus Playground,Ave. P bet. E. 4 St. and Ocean Pkwy.,11230
B127,Martinez Playground,Scholes St. bet. Manhattan Ave. and Graham Ave.,11206
B129,Kaiser Park,"Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.",11224
X348,River Avenue Parks,E 157 St bet. River Av and Gerard Av,10451
X344,Mill Pond Park,Major Deegan Exwy bet. E. 149 St and E. 153 St,10451
MZ250,Greenstreet,Park Ave South Bet. E 21 & E 22 Sts,null
MZ251,Greenstreet,Park Ave South Bet. E 22 & E 23 Sts,null
MZ252,Greenstreet,Park Ave South Bet. E 23 & E 24 Sts,null
